,2022-08-28,2021-08-29,2020-08-30,2019-09-01
Capital Surplus,6884000000.0,7031000000.0,6698000000.0,6417000000.0
Total Liab,43519000000.0,41190000000.0,36851000000.0,29816000000.0
Total Stockholder Equity,20642000000.0,17564000000.0,18284000000.0,15243000000.0
Minority Interest,5000000.0,514000000.0,421000000.0,341000000.0
Other Current Liab,7301000000.0,6309000000.0,5317000000.0,5452000000.0
Total Assets,64166000000.0,59268000000.0,55556000000.0,45400000000.0
Common Stock,2000000.0,4000000.0,4000000.0,4000000.0
Other Current Assets,1499000000.0,1312000000.0,1023000000.0,1111000000.0
Retained Earnings,15585000000.0,11666000000.0,12879000000.0,10258000000.0
Other Liab,1172000000.0,1435000000.0,1278000000.0,1085000000.0
Good Will,993000000.0,996000000.0,988000000.0,53000000.0
Gains Losses Not Affecting Retained Earnings,-1829000000.0,-1137000000.0,-1297000000.0,-1436000000.0
Other Assets,1437000000.0,1385000000.0,1261000000.0,972000000.0
Cash,10203000000.0,11258000000.0,12277000000.0,8384000000.0
Total Current Liabilities,31998000000.0,29441000000.0,24844000000.0,23237000000.0
Deferred Long Term Asset Charges,445000000.0,444000000.0,406000000.0,398000000.0
Short Long Term Debt,73000000.0,799000000.0,95000000.0,1699000000.0
Other Stockholder Equity,-1829000000.0,-1137000000.0,-1297000000.0,-1436000000.0
Property Plant Equipment,29040000000.0,27382000000.0,25187000000.0,20890000000.0
Total Current Assets,32696000000.0,29505000000.0,28120000000.0,23485000000.0
Net Tangible Assets,19649000000.0,16568000000.0,17296000000.0,15190000000.0
Short Term Investments,846000000.0,917000000.0,1028000000.0,1060000000.0
Net Receivables,2241000000.0,1803000000.0,1550000000.0,1535000000.0
Long Term Debt,6484000000.0,6692000000.0,7514000000.0,5124000000.0
Inventory,17907000000.0,14215000000.0,12242000000.0,11395000000.0
Accounts Payable,17848000000.0,16278000000.0,14172000000.0,11679000000.0
