,2022-08-28,2021-08-29,2020-08-30,2019-09-01
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,7840000000.0,6680000000.0,5367000000.0,4765000000.0
Minority Interest,5000000.0,514000000.0,421000000.0,341000000.0
Net Income,5844000000.0,5007000000.0,4002000000.0,3659000000.0
Selling General Administrative,19779000000.0,18022000000.0,16387000000.0,14994000000.0
Gross Profit,27572000000.0,25245000000.0,21822000000.0,19817000000.0
Ebit,7793000000.0,7223000000.0,5435000000.0,4737000000.0
Operating Income,7793000000.0,7223000000.0,5435000000.0,4737000000.0
Other Operating Expenses,,,,
Interest Expense,-158000000.0,-171000000.0,-160000000.0,-150000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1925000000.0,1601000000.0,1308000000.0,1061000000.0
Total Revenue,226954000000.0,195929000000.0,166761000000.0,152703000000.0
Total Operating Expenses,219161000000.0,188706000000.0,161326000000.0,147966000000.0
Cost Of Revenue,199382000000.0,170684000000.0,144939000000.0,132886000000.0
Total Other Income Expense Net,47000000.0,-543000000.0,-68000000.0,28000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,5915000000.0,5079000000.0,4059000000.0,3704000000.0
Net Income Applicable To Common Shares,5844000000.0,5007000000.0,4002000000.0,3659000000.0
